rok,miasto,nazwa,sentence,kategorie,tag
2019,SOPOT,. Kontynuacja zagospodarowania zieleńca na rozwidleniu Al. Niepodległości i ul. Armii Krajowej,zagospodarować zieleniec niepodległość armia,INFRASTRUKTURA,zagospodarować
2019,SOPOT,. Zagospodarowanie leśnego trójkąta na skwerek wypoczynkowy za osiedlem Przypisie,zagospodarować leśny trójkąt skwerek wypoczynkowy,INFRASTRUKTURA,zagospodarować
2019,SOPOT,. Odyseja bez granic dla seniora i nie tylko  zajęcia dla mieszkańców,odyseja granica seniora zająć mieszkaniec,SPOŁECZEŃSTWO,dorosły
2019,SOPOT,. Skwer przy ul. Sikorskiego na wysokości sklepu Alma,skwer sklep,NATURA,skwer
2019,SOPOT,. Szlak świetlny do Opery Leśnej  instalacja artystyczna,szlak świetlny instalacja artystyczny,SPOŁECZEŃSTWO,artystyczny
2019,SOPOT,. Renowacja zabytkowego zegara oraz podświetlenie elewacji frontowej budynku II LO im. B. Chrobrego,renowacja zabytkowy zegar podświetlić elewacja frontowy budynek chrobry,INFRASTRUKTURA,przebudowa
2019,SOPOT,. Wykonanie wygodnego dojścia od ul. Wybickiego przy Stadionie KLA do ul. Abrahama,dojść,INFRASTRUKTURA,dojść
2019,SOPOT,. Skwer na ul.  Maja przy przejściu podziemnym nasadzenie drzew wymiana posadzki bez ławek,skwer przejść podziemny nasadzić wymiana posadzka ławka,INFRASTRUKTURA,ławeczka
2019,SOPOT,. Integracja terenów rekreacyjnych SM Mickiewicza oraz boiska przy PS.,integracja rekreacyjny,SPOŁECZEŃSTWO,integracja
2019,SOPOT,. Wymiana latarni przy ul. Antoniego Abrahama,wymiana latarnia,INFRASTRUKTURA,latarnia
2019,SOPOT,. Bezpieczny Mickiewicz  zakup i instalacja systemu monitoringu na osiedlu Mickiewicza,bezpieczny zakup instalacja system monitoring,INFRASTRUKTURA,zakup
2019,SOPOT,. Naprawa chodnika przy ul. Zamenhofa,naprawa chodnik,INFRASTRUKTURA,naprawa
2019,SOPOT,.  Dawna Cegielnia  założenie ścieżki historycznej,dawny historyczny,SPOŁECZEŃSTWO,historyczny
2019,SOPOT,. Przejazd rowerowy przez Al. Niepodległości na wysokości KM Kamienny Potok Lidl,przejazd rowerowy niepodległość,INFRASTRUKTURA,rowerowy
2019,SOPOT,. Odtworzenie schodów na cmentarz wejście  od strony ul. Sienkiewicza,odtworzyć schody cmentarz wejść,INFRASTRUKTURA,schody
2019,SOPOT,. Remont i rozbudowa zatok postojowych przy ul. Mazowieckiej oraz Kujawskiej,remont rozbudowa zatoka mazowiecki,INFRASTRUKTURA,przebudowa
2019,SOPOT,. Wymiana nawierzchni na pętli autobusowej linii  między Kraszewskiego  i Sienkiewicza ,wymiana nawierzchnia pętla autobusowy linia,INFRASTRUKTURA,autobusowy
2019,SOPOT,. Renowacja grobli przy stawie Mazowieckim  część sopocka.,renowacja grobla staw część sopocki,INFRASTRUKTURA,remont
2019,SOPOT,. Budowa placu zabaw przy ul. Kujawskiej ,budowa plac zabawić kujawski,SPOŁECZEŃSTWO,skatepark
2019,SOPOT,. Modernizacja ul. Tatrzańskiej od budynku nr  do ul. Kraszewskiego chodniki i droga,modernizacja tatrzański budynek chodnik,INFRASTRUKTURA,modernizacja
2019,SOPOT,. Modernizacja parkingu w okolicy ul. Wejherowskiej i Kraszewskiego  I etap dokumentacja projektowa,modernizacja parking wejherowski dokumentacja projektowy,INFRASTRUKTURA,modernizacja
2019,SOPOT,. Doposażenie w sprzęt rekreacyjny placu przy boisku koło cmentarza które powstało z BO w  r.,doposażyć sprzęt rekreacyjny plac cmentarz powstać,INFRASTRUKTURA,cmentarz
2019,SOPOT,. Poszerzenie ulicy pomiędzy ul. Tatrzańską  a garażami i umożliwienie parkowania na tej ulicy,poszerzyć tatrzański garaż umożliwić,INFRASTRUKTURA,parkingowy
2019,SOPOT,. Siłownia na osiedlu Kamienny Potok II między blokami  i  przy ul. Mazowieckiej,siłownia mazowiecki,SPOŁECZEŃSTWO,siłownia
2019,SOPOT,. Siłownia przy ul. Wejherowskiej miedzy blokami  i  oraz wybieg dla psów przy ul. Obodrzycki,siłownia wejherowski miedza wybieg pies,SPOŁECZEŃSTWO,siłownia
2019,SOPOT,. Naprawa nawierzchni ulicy i chodnika na ul. Łowickiej  od ul. Mazowieckiej w górę przycięcie krzewów,naprawa nawierzchnia chodnik łowicki mazowiecki góra przyciąć krzew,INFRASTRUKTURA,naprawa
2019,SOPOT,. Odpoczynek na Małopolskiej  ustawienie ławek,odpoczynek ustawić ławka,INFRASTRUKTURA,ławeczka
2019,SOPOT,. Ustawienie sprzętu sportowego na placu zabaw koło budynku Sienkiewicza ,ustawić sprzęt sport plac zabawić budynek,INFRASTRUKTURA,stadion
2019,SOPOT,. Remont nawierzchni pasa drogowego i chodników ul. Łużyckiej,remont nawierzchnia pasać chodnik łużycki,INFRASTRUKTURA,chodnik
2019,SOPOT,. Przebudowa schodów łączących ul. Małopolską z ul. Kaszubską,przebudowa schody łączyć małopolski kaszubski,INFRASTRUKTURA,przebudowa
2019,SOPOT,. Modernizacja Orlika na Rodzinie skatepark,modernizacja skatepark,SPOŁECZEŃSTWO,skatepark
2019,SOPOT,. Nowe miejsca do wypoczynku nowa aranżacja terenów zielonych  na terenie całego osiedla Brodno,wypoczynek aranżacja zielony,SPOŁECZEŃSTWO,wypoczynek
2019,SOPOT,. Skrzydlaci goście na Rodzinie  stworzenie optymalnych warunków siedliskowych dla zwierząt i ptaków,skrzydlaty gościa stworzyć optymalny warunki siedliskowy zwierzę ptak,NATURA,ptak
2019,SOPOT,. Renowacja zabytkowego budynku ujęcia drenażowego na Rodzinie oraz utworzenie ścieżki spacerowej,renowacja zabytkowy budynek drenażowy utworzyć spacerowy,INFRASTRUKTURA,przebudowa
2019,SOPOT,. Wymiana latarni ulicznych oraz dodanie nowych wzdłuż ul. Cieszyńskiego  kontynuacja projektu,wymiana latarnia dodać cieszyński,INFRASTRUKTURA,latarnia
2019,SOPOT,. Rewitalizacja terenu zielonego przy ul. Kolberga,rewitalizacja,INFRASTRUKTURA,rewitalizacja
2019,SOPOT,. Chodnik przy ul. Cieszyńskiego,chodnik cieszyński,INFRASTRUKTURA,chodnik
2019,SOPOT,. Odbudowa i zagospodarowanie wylotu drenażu do otwartego koryta potoku Kamiennego przy ul. Kolberga,odbudowa zagospodarować wylot drenaż otworzyć potok,INFRASTRUKTURA,rozbudowa
2019,SOPOT,. Ławeczka  ustawienie  ławek na trawie wzdłuż płotu boiska przy SP  Sopot Brodno.,ławeczka ustawić ławka trawa płot,INFRASTRUKTURA,ławka
2019,SOPOT,. Broadway  integracja. Rozbudowa działań filii Biblioteki Sopockiej i Domu Sąsiedzkiego Broadway.,integracja rozbudowa działać,SPOŁECZEŃSTWO,integracja
2019,SOPOT,. Zmiana oświetlenia na ledowe przy ul. Cieszyńskiego.,zmiana cieszyński,INFRASTRUKTURA,naprawa
2019,SOPOT,. Siłownia zewnętrzna dla uczniów i mieszkańców przy II LO,siłownia uczeń mieszkaniec,SPOŁECZEŃSTWO,uczeń
2019,SOPOT,. Modernizacja zatok postojowych ul. Malczewskiego,modernizacja zatoka,INFRASTRUKTURA,modernizacja
2019,SOPOT,. Integracja Seniorów Rodzina  wyjazdy i imprezy integracyjne,integracja wyjazd impreza integracyjny,SPOŁECZEŃSTWO,integracja
2019,SOPOT,. Ustawienie ławek pomiędzy blokami Kolberga  i ,ustawić ławka,INFRASTRUKTURA,ławka
2019,SOPOT,. Podniesienie progów spawalniczy na ul. Cieszyńskiego.,próg spawalniczy cieszyński,NATURA,solankowy
2020,SOPOT,. godzinne ambulatorium chirurgiczne,godzinny chirurgiczny,SPOŁECZEŃSTWO,historyczny
2020,SOPOT,. Butelkowaty do skupu butelek w SP nr  SP nr  i II LO,butelkowaty skup butelka,NATURA,zbiornik
2020,SOPOT,. Defibrylator ED na quadzie na wyposażeniu WOPR do pomocny przy zawałach serca,defibrylator quad pomocny zawała,SPOŁECZEŃSTWO,niepełnosprawny
2020,SOPOT,. Remont schodów przy ul. Jagiełły,remont schody,INFRASTRUKTURA,schody
2020,SOPOT,. Toaleta miejska przy wejściu na cmentarz komunalny na wysokości schroniska,toaleta cmentarz komunalny,INFRASTRUKTURA,cmentarz
2020,SOPOT,. Sopot miasto magnolii  nasadzenie kolejnych  magnolii na terenie miasta,magnolia nasadzić kolejny magnolia,INFRASTRUKTURA,montaż
2020,SOPOT,. Renowacja cmentarza komunalnego,renowacja cmentarz komunalny,INFRASTRUKTURA,cmentarz
2020,SOPOT,. Badania profilaktyczne dla dzieci i młodzieży z zakresu profilaktyki wad postawy,badać profilaktyczny dziecko młodzież profilaktyka wad postaw,SPOŁECZEŃSTWO,przedszkolak
2020,SOPOT,. Przebudowa ul. Sobieskiego od ul. Pułaskiego do ul. Chopina w przestrzeń przyjazną pieszym,przebudowa pieszy,INFRASTRUKTURA,przebudowa
2020,SOPOT,. Profesjonalne pole do gry w minigolfa na sopockich błoniach,profesjonalny gra minigolf sopocki,SPOŁECZEŃSTWO,profesjonalny
2020,SOPOT,. Ustawienie ławek na plaży,ustawić ławka plażyć,INFRASTRUKTURA,ławeczka
2020,SOPOT,. Oświetlenie świąteczne na al. Niepodległości wymiana i uzupełnienie,oświetlić świąteczny niepodległość wymiana,INFRASTRUKTURA,oświetlić
2020,SOPOT,. Sopockie centrum rehabilitacji dzieci z pierwszej linii działań wojennych z Mariupola  turnusy rehabilitacyjne,sopocki rehabilitacja dziecko linia działać wojenny turnus rehabilitacyjny,INFRASTRUKTURA,renowacja
2020,SOPOT,. Trasy do nart biegowych w sopockich lasach,tras narta biegowy sopocki lasa,SPOŁECZEŃSTWO,skatepark
2020,SOPOT,. Zagospodarowanie terenu przyległego do SP nr  przy ul. Haffnera  i Krytej Pływalni MOSiR przy ul. Haffnera ,zagospodarować przyległy,INFRASTRUKTURA,zagospodarować
2020,SOPOT,. Czujka czadu  uratuj życie  kampania informacyjna oraz wyposażenie lokali mieszkalnych w czujki czadu,czujka czad uratować kampania informacyjny wyposażyć lokal mieszkalny czujka czad,SPOŁECZEŃSTWO,informacyjny
2020,SOPOT,. Zajęcia joga RE mindfulness dla mieszkańców Sopotu,zająć joga mieszkaniec,EDUKACJA,joga
2020,SOPOT,. Pergola z różami nad wejściem do tunelu pod al. Niepodległości w ciągu ul. Bohaterów Monte Cassino,pergola róża wejść tunel niepodległość bohater,INFRASTRUKTURA,wjazd
2020,SOPOT,. Spacery historyczne z Muzeum Sopotu,spacer historyczny,SPOŁECZEŃSTWO,historyczny
2020,SOPOT,. Modernizacja parkingu przy ul. Sienkiewicza ,modernizacja parking,INFRASTRUKTURA,modernizacja
2020,SOPOT,. Znaki informujące o prędkości  buźki sopockie,znak informować prędkość buźka sopocki,INFRASTRUKTURA,sygnalizacja
2020,SOPOT,. Senior sopocki  spotkania z animatorami zdrowego stylu życia i żywienia na terenach siłowni zewnętrznych,senior sopocki spotkać animator zdrowy styl siłownia,SPOŁECZEŃSTWO,siłownia
2020,SOPOT,. Zadbaj o swoje zdrowie psychiczne  program profilaktyczny,zadbać psychiczny program profilaktyczny,SPOŁECZEŃSTWO,program
2020,SOPOT,. Kontroluje władzę  aplikacja mobilna dla mieszkańców ułatwiająca komunikację z radnymi,kontrolować władza aplikacja mobilny mieszkaniec ułatwiać komunikacja radny,SPOŁECZEŃSTWO,mieszkaniec
2020,SOPOT,. Remont nawierzchni i chodników przy ul. Langiewicza ul. Racławickiej,remont nawierzchnia chodnik racławicki,INFRASTRUKTURA,remont
2020,SOPOT,. Broń się sam  zajęcia samoobrony i sztuki walki karate kyokushinkai dla młodzieży i dorosłych,bronić zająć samoobrona sztuk walka młodzież dorosły,NATURA,ochrona
2020,SOPOT,. Podbój Sopot z Kajko i Rokoszem  szlak edukacyjny złożony z  interaktywnych ławek,podbój szlak edukacyjny złożony interaktywny ławka,INFRASTRUKTURA,ławka
2020,SOPOT,. Licznik długu publicznego Polski  aktywna tablica informacyjna,licznik dług aktywny tablica informacyjny,SPOŁECZEŃSTWO,aktywny
2020,SOPOT,. Z solanką ku zdrowiu  przeprowadzenie zajęć na basenie solankowym dla dzieci oraz organizacja zajęć profilaktycznych z zakresu edukacji prozdrowotnej,solanka przeprowadzić zająć basen solankowy dziecko organizacja zająć profilaktyczny edukacja prozdrowotny,SPOŁECZEŃSTWO,dziecko
2020,SOPOT,. Opracowanie projektu kartograficznego w zakresie wytyczenia granic dzielnic i osiedli,opracować kartograficzny wytyczyć granica osieść,INFRASTRUKTURA,zagospodarować
2020,SOPOT,. Taniec w przestrzeni publicznej  warsztaty dla mieszkańców,taniec warsztaty mieszkaniec,SPOŁECZEŃSTWO,warsztaty
2020,SOPOT,. Namalowanie szachownicy na skwerze Kuracyjny,namalować szachownica skwer,SPOŁECZEŃSTWO,koszykówka
2020,SOPOT,. Zajęcia kulturalne  malarstwo na ceramice oraz ceramika i mozaika ceramiczna,zająć kulturalny ceramika ceramika mozaika ceramiczny,SPOŁECZEŃSTWO,kulturalny
2020,SOPOT,. Remontu ul. Moniuszki w części prowadzącej do numerów   i ,remont prowadząca numer,INFRASTRUKTURA,remont
2020,SOPOT,. Góralska muzyka na Jarmarku Świątecznym,góralski muzyka,EDUKACJA,muzyka
2020,SOPOT,. Postawienie dwóch zadaszonych altanek z ławkami i stolikiem w formie grzybka w Parku Północnym,postawić zadaszony altanka ławka stolik forma grzybek,INFRASTRUKTURA,ławka
2020,SOPOT,. Przebudowa schodów między ul. Jenieckiego i ul. Obrońców Westerplatte przy Szkole Muzycznej,przebudowa schody jeniecki obrońca,INFRASTRUKTURA,przebudowa
2020,SOPOT,. Wodopoju przy siłowni zewnętrznej w Łazienkach Północnych,wodopój siłownia,SPOŁECZEŃSTWO,siłownia
2020,SOPOT,. Remont chodników i uliczki w ciągu posesji ul. Książąt Pomorskich  do ,remont chodnik uliczka książę,INFRASTRUKTURA,chodnik
2020,SOPOT,. Zajęcia z gimnastyki i rehabilitacji kręgosłupa dla mieszkańców Sopotu,zająć gimnastyka rehabilitacja kręgosłup mieszkaniec,SPOŁECZEŃSTWO,gimnastyczny
2020,SOPOT,. Przebudowa i powiększenie placu zabaw w Parku Południowym,przebudowa plac zabawić,INFRASTRUKTURA,przebudowa
2020,SOPOT,. Rewitalizacja skweru ul. Na Wydmach,rewitalizacja skwer,INFRASTRUKTURA,rewitalizacja
2020,SOPOT,. Paczkomat do dokarmiania ptaków przy molo,paczkomat dokarmiać ptak,NATURA,ptak
2020,SOPOT,. Remont drogi dojazdowej od ul. Chopina ,remont drogi dojazdowy,INFRASTRUKTURA,remont
2020,SOPOT,. Orkiestra promenadowe  koncerty wakacyjne,orkiestra promenadowy koncert wakacyjny,SPOŁECZEŃSTWO,koncert
2020,SOPOT,. Kontynuacja modernizacji skarpy i błoni dokończenie ścieżki rowerowospacerowej górą nad polaną rekreacyjną od ul. Polnej do RGO REN.,modernizacja skarpa dokończyć rowerowospacerowy góra polana rekreacyjny polny RGO ren,INFRASTRUKTURA,renowacja
2020,SOPOT,. Łąka kwietna wokół RGO REN  założenie ok.  tys. m kw.,łąka kwietny RGO ren kilowat,NATURA,łąka
2020,SOPOT,. Bezpieczna ul.  Maja  montaż licznika prędkości,bezpieczny montaż licznik prędkość,INFRASTRUKTURA,bezpieczny
2020,SOPOT,. Poprawa bezpieczeństwa mieszkańców dzielnicy Wyścigi  budowa wzniesionego skrzyżowania ul. Łokietka z ul. Architektów montaż znaków drogowych,poprawa mieszkaniec budowa wznieść skrzyżować łokietek architekt montaż znak drogowy,INFRASTRUKTURA,budowa
2020,SOPOT,. Budowa elementów sportowych i rekreacyjnych na placu im. Gruby,budowa sport rekreacyjny plac gruby,SPOŁECZEŃSTWO,rekreacja
2020,SOPOT,. Świąteczna iluminacja ul. Łokietka,świąteczny iluminacja łokietek,INFRASTRUKTURA,świetlny
2020,SOPOT,. Ścieżka edukacyjna na Hipodromie,edukacyjny,EDUKACJA,edukacyjny
2020,SOPOT,. Bezpieczna droga do domu  budowa chodnika przy ul. Świemirowskiej,bezpieczny budowa chodnik,INFRASTRUKTURA,chodnik
2020,SOPOT,. Naprawa drogi miejskiej między budynkami ul. Karlistowska ,naprawa drogi budynek karlistowski,INFRASTRUKTURA,remont
2020,SOPOT,. Rewitalizacja ścieżki wokół Stadionu Leśnego,rewitalizacja,INFRASTRUKTURA,rewitalizacja
2020,SOPOT,. Ustawienie  ławek i pojemników na śmieci w Górnym Sopocie,ustawić ławka pojemnik,INFRASTRUKTURA,ławka
2020,SOPOT,. Rozbudowa placu zabaw przy al. Niepodległości ,rozbudowa plac zabawić niepodległość,INFRASTRUKTURA,rozbudowa
2020,SOPOT,. Zmiana nawierzchni i montaż oświetlenia na drodze łączącej ul. Karlikowski i ul. Bitwy pod Płowcami,zmiana nawierzchnia montaż łączyć bitwa,INFRASTRUKTURA,montaż
2020,SOPOT,. Remont nawierzchni przejścia do SP  od al. Niepodległości,remont nawierzchnia przejść niepodległość,INFRASTRUKTURA,nawierzchniasztuczny
2020,SOPOT,. Naprawa nawierzchni jezdni ul. Bocznej,naprawa nawierzchnia jezdnia boczny,INFRASTRUKTURA,nawierzchniasztuczny
2020,SOPOT,. Utworzenie zielonego skweru z małą architektura między chodnikiem a budynkiem przy ul. Kopernika ,utworzyć skwer architektura chodnik budynek,INFRASTRUKTURA,architektura
2020,SOPOT,. Sporządzenie broszury dla mieszkańców południowej części Sopotu  Karkowa i Świemirowo dotyczącej przyszłych planów przewidzianych dla terenów zielonych,sporządzić broszura mieszkaniec dotyczyć przyszły plan przewidzieć zielony,NATURA,zielony
2020,SOPOT,. Sopocka Polana Leśna  doposażenie urządzeniami do rekreacji polany leśnej przy ul.  Marca naprzeciwko posesji  i ,sopocki doposażyć rekreacja polan leśna marzec,SPOŁECZEŃSTWO,rekreacja
2020,SOPOT,. Przypisie  odnowa biblioteczna  odświeżenie wnętrza Filii nr  Sopockiej Biblioteki wyposażenie,przypis odnowa biblioteczny odświeżyć wyposażyć,EDUKACJA,biblioteka
2020,SOPOT,. Zjeżdżalnie dla dzieci przy placu zabaw na ul. Okrężnej,zjeżdżalnia dziecko plac zabawić okrężny,SPOŁECZEŃSTWO,skatepark
2020,SOPOT,. Ławki są passe Leżaki miejskie na osiedlu Przypisie  idealna szansa na relaks zaledwie trzy kroki od domu,ławka idealny szansa relaks krok,INFRASTRUKTURA,ławka
2020,SOPOT,. Ogródek jordanowski przy ul. Armii Krajowej   część II,ogródek jordanowski armia część,NATURA,ogród
2020,SOPOT,. Pokrycie winobluszczem zadaszeń przejścia podziemnego pod al. Niepodległości przy II LO,pokryć winobluszcz przejść podziemny niepodległość,INFRASTRUKTURA,ogrodzić
2020,SOPOT,. Aktywizacja Górnego Monika  organizacja wydarzeń dla mieszkańców na górnym odcinku ul. Boh. Monte Cassino między tunelami,aktywizacja organizacja mieszkaniec górny Monte tunel,SPOŁECZEŃSTWO,organizacja
2020,SOPOT,. Miniak i miniboisko przy ul. Grottgera na tyłach budynku policji,tył budynek policja,INFRASTRUKTURA,budynek
2020,SOPOT,. Bezpieczny Mickiewicz  zakup i instalacja systemu monitoringu na osiedlu Mickiewicza,bezpieczny zakup instalacja system monitoring,INFRASTRUKTURA,zakup
2020,SOPOT,. Rozbudowa placu zabaw na osiedlu Mickiewicza przy bloku ul. Mickiewicza ,rozbudowa plac zabawić,SPOŁECZEŃSTWO,zabawa
2020,SOPOT,. Budowa dodatkowych miejsc postojowych dla samochodów na terenie os. Mickiewicza w Sopocie,budowa dodatkowy samochód osa,INFRASTRUKTURA,samochód
2020,SOPOT,. Stacja naprawcza dla rowerów na osiedlu Mickiewicza,naprawczy rower,INFRASTRUKTURA,rowerowy
2020,SOPOT,. Ujednolicenie chodnika na ul. Broniewskiego wykonanie chodnika wzdłuż nasypu graniczącego z boiskiem oraz dojście do boiska,ujednolicić chodnik chodnik nasyp graniczyć dojść,INFRASTRUKTURA,chodnik
2020,SOPOT,. Zmiana aranżacji doposażenie i rozbudowa boiska i placu zabaw przy Sopockiej Szkole Autonomicznej,zmiana aranżacja doposażyć rozbudowa plac zabawić,INFRASTRUKTURA,rozbudowa
2020,SOPOT,. Dawna Cegielnia  uporządkowanie utwardzenie oświetlenia leśnej drogi od ul. Piaskowej do ul. Moniuszki oraz ustawienia tablic edukacyjnych,dawny uporządkować utwardzić leśna drogi piaskowy tablica edukacyjny,INFRASTRUKTURA,asfaltowy
2020,SOPOT,. Wymiana ławek na terenie dzielnicy Kamienny Potok,wymiana ławka,INFRASTRUKTURA,ławka
2020,SOPOT,. Wybieg dla psów na Kamiennym Potoku,wybieg pies,NATURA,pasać
2020,SOPOT,. Modernizacja pętli autobusowej na ul. Kraszewskiego,modernizacja pętla autobusowy,INFRASTRUKTURA,modernizacja
2020,SOPOT,. Monitoring ul. Kraszewskiego,monitoring,INFRASTRUKTURA,monitoring
2020,SOPOT,. Dom Sąsiedzi w Kamiennym Potoku ALTERNATYWY ,alternatywa,INFRASTRUKTURA,dodatkowy
2020,SOPOT,. Budowa parkingu na ul. Sienkiewicza w miejscu po boisku,budowa parking,INFRASTRUKTURA,parking
2020,SOPOT,. Kontynuacja remontu ul. Sienkiewicza,remont,INFRASTRUKTURA,remont
2020,SOPOT,. Przebudowa i powiększenie placu zabaw pomiędzy blokami ul. Tatrzańska  ul. Kraszewskiego  a budynkiem ul. Tatrzańska ,przebudowa plac zabawić tatrzański budynek tatrzański,INFRASTRUKTURA,przebudowa
2020,SOPOT,. Sopocka Strug Ania  stworzenie i wyposażenie miejsca do majsterkowania na Kamiennym Potoku,sopocki stworzyć wyposażyć majsterkować,INFRASTRUKTURA,stworzyć
2020,SOPOT,. Doposażenie placu zabaw dla dzieci przy ul. Mazowieckiej ,doposażyć plac zabawić dziecko mazowiecki,SPOŁECZEŃSTWO,zabawić
2020,SOPOT,. Budowa parkingu obok budynku przy ul. Wejherowskiej ,budowa parking budynek wejherowski,INFRASTRUKTURA,parking
2020,SOPOT,. Dojście do przystanku autobusu linii  od strony północnej na odcinku od budynku przy ul. Mazowieckiej  do ul. Kujawskiej pomiędzy budynkami numer  i ,dojść przystanek autobus linia budynek mazowiecki kujawski budynek numer,INFRASTRUKTURA,autobusowy
2020,SOPOT,. Nowe miejsca do wypoczynku nowa aranżacja terenów zielonych  na terenie całego osiedla Brodno,wypoczynek aranżacja zielony,SPOŁECZEŃSTWO,wypoczynek
2020,SOPOT,. Renowacja zabytkowego budynku drenażowego ujęcia wody na Rodzinie oraz utworzenie ścieżki spacerowej,renowacja zabytkowy budynek drenażowy woda utworzyć spacerowy,INFRASTRUKTURA,przebudowa
2020,SOPOT,. Siłownia dla uczniów II LO Szkoły Podstawowej i mieszkańców,siłownia uczeń mieszkaniec,SPOŁECZEŃSTWO,uczeń
2020,SOPOT,. Piknik obywatelski dla mieszkańców Rodzina,piknik obywatelski mieszkaniec,SPOŁECZEŃSTWO,piknik
2018,BIELSKO-BIAŁA,Budowa MiniMiasteczka Ruchu Rowerowego na Osiedlu Beskidzkim,budowa,INFRASTRUKTURA,budowa
2018,BIELSKO-BIAŁA,Multimedialne Centrum Edukacyjne,multimedialny,SPOŁECZEŃSTWO,muzyczny
2018,BIELSKO-BIAŁA,Remont chodnika od ul. Lipnickiej  do ul. E. Dembowskiego,remont chodnik lipnicki e,INFRASTRUKTURA,remont
2018,BIELSKO-BIAŁA,Multimedialne Centrum Edukacyjne Przedszkolaka,multimedialny,SPOŁECZEŃSTWO,muzyczny
2018,BIELSKO-BIAŁA,Urządzenia zabawowe przy placu zabaw dla starszych dzieci i młodzieży oraz punkt ćwiczeń,zabawowy plac zabawić starszy dziecko młodzież ćwiczyć,SPOŁECZEŃSTWO,zabawić
2018,BIELSKO-BIAŁA,Bliżej Europy  pracownia językowa w Szkole Podstawowej nr ,blisko pracownia językowy,SPOŁECZEŃSTWO,warsztat
2018,BIELSKO-BIAŁA,Osiedle nasze w pełnej krasie czyli Zielona łąka przy ul. Żywieckie Przedmieście. Wyposażenie wybiegu dla psów przy Parku Włókniarzy,pełny kras łąka żywiecki wyposażyć wybieg pies,NATURA,łąka
2018,BIELSKO-BIAŁA,Wykonanie placu zabaw w rejonie ulicy Asnyka w Bielskubialej,plac zabawić,SPOŁECZEŃSTWO,zabawić
2018,BIELSKO-BIAŁA,Wymiana nawierzchni placu dojazdowego i miejsc postojowych dla niepełnosprawnych przy ul. Listopadowej w Bielskubialej,wymiana nawierzchnia plac dojazdowy niepełnosprawny listopadowy,INFRASTRUKTURA,nawierzchniasztuczny
2018,BIELSKO-BIAŁA,Stworzenie ścieżki edukacyjnej na terenie Cmentarza Żydowskiego,stworzyć edukacyjny,EDUKACJA,edukacyjny
2018,BIELSKO-BIAŁA,Rozbudowa placu zabaw,rozbudowa plac zabawić,SPOŁECZEŃSTWO,zabawa
2018,BIELSKO-BIAŁA,Zagospodarowanie i wyposażenie ogrodu przedszkolnego  placu zabaw dla dzieci i Przedszkola nr  w Bielskubialej,zagospodarować wyposażyć ogród przedszkolny plac zabawić dziecko,NATURA,ogród
2018,BIELSKO-BIAŁA,Plac zabaw Orchidea,plac zabawić,SPOŁECZEŃSTWO,zabawić
2018,BIELSKO-BIAŁA,Ratują Wasze Zdrowie Mienie i Życie,ratować,NATURA,ochrona
2018,BIELSKO-BIAŁA,Urokliwy Kamienica,urokliwy,NATURA,kwietny
2018,BIELSKO-BIAŁA,Latający Uniwersytet .,latać,INFRASTRUKTURA,jazda
2018,BIELSKO-BIAŁA,Bezpieczna Karpacka,bezpieczny,INFRASTRUKTURA,bezpieczny
2018,BIELSKO-BIAŁA,Nowoczesna biblioteka na Osiedlu Karpackim jako centrum informacji edukacji i kultury,nowoczesny biblioteka informacja edukacja kultura,EDUKACJA,edukacja
2018,BIELSKO-BIAŁA,Modernizacja placu zabaw oraz sal dydaktycznych w Przedszkolu Miejskim nr ,modernizacja plac zabawić dydaktyczny,INFRASTRUKTURA,modernizacja
2018,BIELSKO-BIAŁA,Remont Łazienek Szkolnych w SP nr   kontynuacja,remont,INFRASTRUKTURA,remont
2018,BIELSKO-BIAŁA,Renowacja krzyża piaskowego i zagospodarowanie terenu wokół,renowacja krzyż piaskowy zagospodarować,INFRASTRUKTURA,renowacja
2018,BIELSKO-BIAŁA,W trosce o życie zdrowie i ochronę mienia mieszkańców Komorowic Krakowskich,troska ochrona mieć mieszkaniec,SPOŁECZEŃSTWO,mieszkaniec
2018,BIELSKO-BIAŁA,Rozbudowa placu zabaw przy ul. Mazańcowickiej ,rozbudowa plac zabawić,SPOŁECZEŃSTWO,zabawa
2018,BIELSKO-BIAŁA,Remont klatki schodowej w budynku Katowicka ,remont klatka schodowy budynek,INFRASTRUKTURA,przebudowa
2018,BIELSKO-BIAŁA,Utwardzenie terenu nieruchomości przy ul. Grodzieńskiego w celu umożliwienia dojazdu służb interwencyjnych oraz wykonania miejsc postojowych w tym dla osób niepełnosprawnych,utwardzić nieruchomość grodzieński umożliwić dojazd służba interwencyjny wykonać osoba niepełnosprawny,SPOŁECZEŃSTWO,niepełnosprawny
2018,BIELSKO-BIAŁA,Remont chodników przy blokach nr  a  przy ul. Żywieckiej,remont chodnik żywiecki,INFRASTRUKTURA,remont
2018,BIELSKO-BIAŁA,Remont drogi wewnętrznej  boczna Wita Stwosza  wymiana nawierzchni biegnącej na tyłach budynku Piastowska  dookoła budynku Piastowska  Kuratorium Oświaty do placu zabaw i bloku Piastowska   na odcinkach stanowiacych własność Miasta Bielska,remont drogi wewnętrzny boczny wymiana nawierzchnia biec tył budynek dookoła budynek plac zabawić własność,INFRASTRUKTURA,przebudowa
